step,node_index,x,y,step_distance,cumulative_distance
193,222,358.768515,674.088129,18.440947,5251.133949
194,94,361.841075,668.947293,5.989058,5257.123007
195,646,345.830933,653.775991,22.056587,5279.179595
196,317,348.188974,649.027094,5.302111,5284.481706
197,51,348.367021,639.127937,9.900758,5294.382463
198,351,330.818955,626.442659,21.652965,5316.035429
199,304,318.580099,637.869197,16.743816,5332.779244
200,108,324.695134,646.835837,10.853308,5343.632552
201,593,293.954346,670.121473,38.564451,5382.197003
202,560,261.835854,665.726123,32.417844,5414.614848
203,654,260.586034,665.762529,1.25035,5415.865198
204,290,235.277989,728.795847,67.924195,5483.789393
205,595,217.884309,679.109642,52.642749,5536.432142
206,424,179.438335,675.205188,38.643727,5575.075869
207,980,175.492485,664.245743,11.648141,5586.72401
208,666,173.693706,651.926219,12.450151,5599.174161
209,720,179.557845,645.211597,8.914834,5608.088996
210,250,156.185283,643.82371,23.413733,5631.502729
211,368,168.235826,699.604851,57.067954,5688.570682
212,949,139.274677,722.942093,37.19375,5725.764432
213,877,133.50087,698.833042,24.790789,5750.555221
214,251,98.611586,713.925615,38.013786,5788.569008
215,195,79.884927,719.619328,19.573097,5808.142104
216,674,59.868741,729.138159,22.164292,5830.306397
217,476,56.173717,751.369767,22.536584,5852.84298
218,943,49.246442,759.770417,10.888437,5863.731417
219,546,38.7166,782.367213,24.929756,5888.661174
220,230,23.827367,791.233708,17.329281,5905.990455
221,786,64.935035,808.679181,44.656297,5950.646752
222,778,85.744145,846.338319,43.025919,5993.672671
223,226,129.642344,847.174064,43.906154,6037.578825
224,117,141.551758,870.467256,26.161172,6063.739997
225,533,164.070026,870.784022,22.520496,6086.260493
226,228,168.148032,883.939657,13.773194,6100.033686
227,833,174.239106,868.11025,16.960875,6116.994562
228,331,190.021255,865.533419,15.991131,6132.985693
229,11,142.175064,790.071844,89.351593,6222.337286
230,779,140.33298,778.326864,11.888559,6234.225845
231,426,143.640919,778.036123,3.320691,6237.546536
232,266,144.025903,758.891617,19.148376,6256.694912
233,386,170.826714,764.833585,27.451602,6284.146514
234,885,202.336024,760.73401,31.774882,6315.921396
235,449,232.187523,768.987458,30.971461,6346.892857
236,372,232.006852,816.485563,47.498449,6394.391306
237,888,220.437664,841.611935,27.6619,6422.053205
238,961,227.90761,898.729151,57.603615,6479.65682
239,396,232.393112,896.158976,5.169673,6484.826494
240,538,239.060897,916.962097,21.845576,6506.672069
